Load Capacity,Colleection Point,Column Wash Cond.,Elution pH,Elution Flow Rate,%Recovery,SEC,IEX,HCP,HCD,Pro A
20,50,1.5,7.6,100,91,93.125,75.092,10576.27,210.4,17.9
30,50,2.5,7.4,100,88.3,96.111,74.579,9421.754,99.6,18.1
10,32,1.5,7.4,200,92,95.684,66.653,16405.76,193.1,15.3
30,100,1.5,7.4,200,81.7,95.988,74.672,,,
30,100,2.5,7.8,200,84.1,95.384,73.822,,,
30,33,2.5,7.8,100,89.4,95.575,74.723,10617.95,186.3,16.6
20,50,2,7.8,150,92.3,95.532,63.815,9444.555,336,15.7
20,32,2.5,7.6,150,91.9,95.843,64.723,14077.75,213.3,14.5
20,100,2,7.6,100,89.6,95.903,66.827,12037.83,232.2,14.6
10,41,1.5,7.8,100,91.4,92.206,75.034,14140.31,303.2,23.7
10,100,2.5,7.4,200,85.7,95.538,73.687,15002.54,36.7,14.6
10,100,1.5,7.4,100,89,95.739,64.911,14330.06,146.3,14.6
30,100,1.5,7.8,100,88.5,94.945,74.054,,,
30,21,1.5,7.8,200,90.4,95.746,64.246,7993.753,205.8,15.6
30,47,1.5,7.6,150,88.9,96.885,67.536,10798.55,126.3,14.7
30,34,2,7.4,100,88.5,95.913,66.39,7463.754,132.2,14.5
10,100,1.5,7.8,200,86.4,93.573,75.053,13390.58,224.2,15.5
30,29,2.5,7.4,200,89.7,96.062,64.946,7561.22,130.9,13.3
10,50,2,7.6,150,89.6,94.297,75.072,14853.92,324,26.3
10,100,2.5,7.8,100,88.8,92.948,75.157,14758.06,305.5,22.7
20,50,2,7.6,200,90,93.606,75.276,14002.43,241.6,17.1
10,20,2.5,7.4,100,88,95.628,73.855,12706.73,27.1,12.4
20,50,1.5,7.4,150,89.3,94.989,73.62,12747.16,30.2,15.3
30,100,2.5,7.6,150,87.1,96.885,67.184,10248.62,117.2,14.6
10,41,2.5,7.8,200,89.8,93.35,75.127,15431.57,327.2,21.1
10,50,2,7.6,150,88.4,96.022,66.567,14639.5,268.7,15.9
20,100,2,7.4,150,87.4,95.042,73.792,,,
